2021-01-01 15:15:46
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.34, 1.39, 1.37
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,57.9359,81.4088,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,57.045,80.2788,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,2.08337,2.64198,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,80.9957,104.086,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,81.0369,104.129,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.143083,0.155439,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,156.501,179.62,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,156.13,179.281,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.585024,0.667906,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,463.013,486.075,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,462.638,485.697,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1.0013,1.05185,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1661,1684,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1659.67,1682.61,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,3.23386,3.22955,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,6500.98,6526.66,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,6472.27,6497.86,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,57.1362,57.6649,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,25749.7,25789,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,25773.5,25814.6,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,59.618,59.7727,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,102517,102559,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,102600,102643,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,160.622,159.94,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,409983,410037,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,409765,409818,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,954.502,949.493,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.63867e+06,1.63864e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.63801e+06,1.63797e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,4354.28,4324.21,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,6.81917e+06,6.8193e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,6.82151e+06,6.82147e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,8030.72,7908.1,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.82428e+07,2.82423e+07,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,2.8226e+07,2.82254e+07,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,60948.2,60114.4,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.14361e+08,1.14359e+08,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,1.13697e+08,1.13695e+08,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,2.11269e+06,2.11319e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,94.2587,129.781,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,94.1368,129.575,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.733619,0.994074,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,135.443,172.166,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,135.409,172.124,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,0.142975,0.178671,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,274.683,312.926,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,274.313,312.442,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,1.16892,1.34907,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,849.484,893.842,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,849.515,893.897,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,0.796781,0.833673,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,3214.46,3328.58,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,3212.33,3324.05,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,9.88292,11.7809,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,12593.6,12876,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,12648.8,12927.3,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,139.637,139.159,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,50828.6,51571,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,50676.6,51410.7,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,361.035,372.073,ns,,,,,
