name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,173212,45128.9,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,170319,43498.2,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,8099.45,4707.96,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,167659,42144.7,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,165801,42154.4,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,5063.78,718.19,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,167089,43138.9,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,166268,42353.3,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,3127.38,2363.28,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,167687,41664.3,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,166997,42034,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3374.21,799.57,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,165565,41307,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,165395,41128,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,1272.69,876.316,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,165681,41248.2,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,165291,41038.5,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,929.147,694.297,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,171848,42103,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,171486,41226.2,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,3244.82,1979.41,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,168857,43002.3,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,167847,42908.8,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2506.87,943.689,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,169936,43657.9,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,169711,43558.6,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,1265.66,511.177,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,206983,48665.2,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,208536,48749,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,3763.1,686.026,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,300527,58487.7,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,299680,58734,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,4058.1,2481.24,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,683658,87278.4,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,682685,88551,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,18701.8,7583.84,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.38579e+06,293699,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,2.37167e+06,306097,ns,,,,,
